,restaurant_name,restaurant_url,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
97,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Goreng,Mee Goreng Ayam,Dish Description not available,MYR6.00,from N/A,N/A
98,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Goreng,Mee Goreng Daging,Dish Description not available,MYR6.00,from N/A,N/A
99,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Goreng,Mee Goreng Seafood,Dish Description not available,MYR7.00,from N/A,N/A
100,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Goreng,Kuey Teow Goreng Ayam,Dish Description not available,MYR6.00,from N/A,N/A
101,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Goreng,Kuey Teow Goreng Daging,Dish Description not available,MYR6.00,from N/A,N/A
102,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Goreng,Kuey Teow Goreng Seafood,Dish Description not available,MYR7.00,from N/A,N/A
103,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Goreng,Bihun Goreng Ayam,Dish Description not available,MYR6.00,from N/A,N/A
104,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Goreng,Bihun Goreng Daging,Dish Description not available,MYR6.00,from N/A,N/A
105,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Goreng,Bihun Goreng Seafood,Dish Description not available,MYR7.00,from N/A,N/A
106,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Goreng,Maggi Goreng Ayam,Dish Description not available,MYR6.00,from N/A,N/A
107,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Goreng,Maggi Goreng Daging,Dish Description not available,MYR6.00,from N/A,N/A
108,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Goreng,Maggi Goreng Seafood,Dish Description not available,MYR7.00,from N/A,N/A
109,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Tomyam,Mee Tomyam Ayam,Dish Description not available,MYR6.00,from N/A,N/A
110,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Tomyam,Mee Tomyam Daging,Dish Description not available,MYR6.00,from N/A,N/A
111,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Mee Tomyam,Mee Tomyam Seafood,Dish Description not available,MYR7.00,from N/A,N/A
112,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Tomyam,Kuey Teow Tomyam Ayam,Dish Description not available,MYR6.00,from N/A,N/A
113,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Tomyam,Kuey Teow Tomyam Daging,Dish Description not available,MYR6.00,from N/A,N/A
114,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kuey Teow Tomyam,Kuey Teow Tomyam Seafood,Dish Description not available,MYR7.00,from N/A,N/A
115,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Tomyam,Bihun Tomyam Ayam,Dish Description not available,MYR6.00,from N/A,N/A
116,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Tomyam,Bihun Tomyam Daging,Dish Description not available,MYR6.00,from N/A,N/A
117,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bihun Tomyam,Bihun Tomyam Seafood,Dish Description not available,MYR7.00,from N/A,N/A
118,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Tomyam,Maggi Tomyam Ayam,Dish Description not available,MYR6.00,from N/A,N/A
119,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Tomyam,Maggi Tomyam Daging,Dish Description not available,MYR6.00,from N/A,N/A
120,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Maggi Tomyam,Maggi Tomyam Seafood,Dish Description not available,MYR7.00,from N/A,N/A
121,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Minuman,Asam,Dish Description not available,MYR1.70,N/A,N/A
122,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Minuman,Jagung,Dish Description not available,MYR2.20,N/A,N/A
123,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Minuman,Kopi,Dish Description not available,MYR1.70,N/A,N/A
124,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Minuman,Limau,Dish Description not available,MYR1.70,N/A,N/A
125,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Minuman,Milo,Dish Description not available,MYR2.70,N/A,N/A
